형태소,품사,가게이름,날짜,평점,카운트
",,",Punctuation,봉자마라탕,2019.12.14.,3,1
",,",Punctuation,소리원,2020.01.01,3,1
",,",Punctuation,송화양꼬치,2020.01.01,5,1
",,",Punctuation,애정마라샹궈 본점,2020.01.01,2,1
",,",Punctuation,칠기마라탕,2020.01.01,5,2
",,",Punctuation,탕화쿵푸마라탕 화양점,2020.09.25.,5,1
",,",Punctuation,피슈마라홍탕 상암점,2020.01.01,5,1
",,,",Punctuation,봉자마라탕,2019.12.14.,3,1
",,,",Punctuation,산동주방,2020.01.01,5,1
",,,",Punctuation,하이디라오 강남점,2020.01.01,4,1
",,,",Punctuation,한성양꼬치 종각점,2019.07.25.,3,1
",,,,",Punctuation,피슈마라홍탕 상암점,2020.01.01,5,2
",,,,,,-",Punctuation,칠기마라탕,2020.01.01,4,1
",,?",Punctuation,소리원,2020.01.01,3,2
",,??",Punctuation,라공방 대학로본점,2020.01.16.,1,1
-,Punctuation,강서,2020.07.03.,4,1
-,Punctuation,광화문짬뽕,2020.11.02.,4,1
-,Punctuation,란주칼면,2020.01.01,4,2
-,Punctuation,란주탕슉,2020.09.22.,5,1
-,Punctuation,매화반점 1호점,2020.01.01,1,5
-,Punctuation,손오공마라탕,2020.01.01,5,1
-,Punctuation,중림 양갈비양꼬치,2020.01.01,1,1
-,Punctuation,팔레드신,2020.01.01,5,4
-,Punctuation,히노아지 명동점,2020.10.08.,1,1
------,Punctuation,등비룡마라탕 종각점,2020.06.03.,1,1
.,Punctuation,가담,2020.01.01,3,11
.,Punctuation,강서,2020.02.20.,2,3
.,Punctuation,강서,2020.05.18.,3,3
.,Punctuation,강서,2020.07.03.,4,6
.,Punctuation,개화식당,2020.01.01,2,1
.,Punctuation,개화식당,2020.01.01,3,2
.,Punctuation,구복만두,2020.01.01,3,1
.,Punctuation,구복만두,2020.01.01,4,2
.,Punctuation,김사부샤브샤브,2020.01.01,4,1
.,Punctuation,대가방 본점,2020.01.01,1,8
.,Punctuation,대가방 본점,2020.01.01,3,2
.,Punctuation,대가방 본점,2020.01.01,4,1
.,Punctuation,대가방 본점,2020.01.01,5,1
.,Punctuation,대한닭갈비,2019.12.30.,1,4
.,Punctuation,대한닭갈비,2020.04.15.,1,2
.,Punctuation,동영관,2020.07.13.,4,3
.,Punctuation,동영관,2020.09.27.,5,1
.,Punctuation,두만강샤브샤브 봉천점,2020.01.01,1,1
.,Punctuation,두만강샤브샤브 봉천점,2020.01.01,3,1
.,Punctuation,두만강샤브샤브 봉천점,2020.01.01,4,4
.,Punctuation,두만강샤브샤브 봉천점,2020.01.01,5,1
.,Punctuation,등비룡마라탕 종각점,2020.06.03.,1,1
.,Punctuation,등비룡마라탕 종각점,2020.07.03.,3,3
.,Punctuation,등비룡마라탕 종각점,2020.07.08.,5,8
.,Punctuation,라공방 대학로본점,2019.09.07.,3,4
.,Punctuation,라공방 대학로본점,2019.09.29.,1,7
.,Punctuation,라공방 대학로본점,2019.12.03.,1,1
.,Punctuation,라공방 대학로본점,2019.12.06.,1,1
.,Punctuation,라공방 대학로본점,2019.12.12.,4,1
.,Punctuation,라공방 대학로본점,2020.01.16.,1,2
.,Punctuation,라공방 대학로본점,2020.02.12.,1,3
.,Punctuation,라공방 대학로본점,2020.04.13.,4,2
.,Punctuation,라공방 대학로본점,2020.10.04.,5,1
.,Punctuation,라공방 대학로본점,2020.10.16.,1,1
.,Punctuation,라공방 대학로본점,2020.11.02.,5,3
.,Punctuation,라화쿵부 명동2호점,2019.04.17.,1,5
.,Punctuation,라화쿵부 명동2호점,2019.05.25.,1,1
.,Punctuation,라화쿵부 명동점,2018.04.09.,4,2
.,Punctuation,라화쿵부 명동점,2019.03.23.,3,5
.,Punctuation,라화쿵부 명동점,2019.06.24.,5,1
.,Punctuation,라화쿵부 명동점,2019.12.02.,1,3
.,Punctuation,라화쿵부 명동점,2019.12.03.,1,3
.,Punctuation,라화쿵부 명동점,2019.12.08.,4,1
.,Punctuation,라화쿵부 명동점,2020.01.01,1,5
.,Punctuation,라화쿵부 명동점,2020.03.16.,3,2
.,Punctuation,라화쿵부 명동점,2020.04.02.,1,2
.,Punctuation,라화쿵부 명동점,2020.06.24.,1,2
.,Punctuation,라화쿵부 명동점,2020.06.29.,1,2
.,Punctuation,라화쿵부 명동점,2020.08.01.,4,2
.,Punctuation,락희안 명지대본점,2020.01.01,3,7
.,Punctuation,락희안 명지대본점,2020.01.01,5,1
.,Punctuation,란주탕슉,2016.10.27.,1,3
.,Punctuation,란주탕슉,2018.05.21.,2,2
.,Punctuation,란주탕슉,2018.05.31.,4,3
.,Punctuation,란주탕슉,2018.07.13.,2,4
.,Punctuation,란주탕슉,2018.09.11.,3,2
.,Punctuation,란주탕슉,2018.09.21.,2,1
.,Punctuation,란주탕슉,2018.12.20.,1,5
.,Punctuation,란주탕슉,2019.02.12.,1,1
.,Punctuation,란주탕슉,2019.04.06.,1,3
.,Punctuation,란주탕슉,2019.05.31.,1,2
.,Punctuation,란주탕슉,2019.08.11.,1,3
.,Punctuation,란주탕슉,2019.08.29.,3,2
